report_id,phase,window,strategy,symbol,metric,original,audited,difference,scope,audit_status
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,ordered_reject:funding,1095,1095,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,filter_funding:reject,1095,1095,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,simultaneous_reject,1095,1095,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,basis_observations,1095,1095,0,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,p10,-0.0005835122443154374492508992,-0.000583512244315437449250899184721498922632581269959232173420,-1.5278501077367418730040767826580E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,p50,-0.0004691424772140704521306682,-0.000469142477214070452130668201294796248216441748502026837292,1.294796248216441748502026837292E-30,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,p90,-0.0003462315787588855943119848,-0.000346231578758885594311984752844216010841077235574700427873,-4.7155783989158922764425299572127E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,filter_basis_negative:reject,1090,1090,0,theoretical_basis_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,ordered_reject:basis_negative,1063,1063,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,ordered_reject:state_active,31,31,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,filter_funding:reject,0,0,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,simultaneous_reject,1094,1094,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,BTCUSDT,filter_funding:diagnostic_fail_not_applied,1095,1095,0,theoretical_not_applied,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,basis_observations,1095,1095,0,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,p10,-0.0005965570138060337480824953,-0.000596557013806033748082495312766320095449122208965399693199,1.2766320095449122208965399693199E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,p50,-0.0004769497659672962091845562,-0.000476949765967296209184556179538855040002992625982539897783,-2.0461144959997007374017460102217E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,p90,-0.0003584688260145948022020228,-0.000358468826014594802202022788375368070669568557162975291256,-1.1624631929330431442837024708744E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,filter_basis_negative:reject,1095,1095,0,theoretical_basis_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,ordered_reject:funding,1095,1095,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,filter_funding:reject,1095,1095,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,ETHUSDT,simultaneous_reject,1095,1095,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,basis_observations,1095,1095,0,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,p10,-0.0005965570138060337480824953,-0.000596557013806033748082495312766320095449122208965399693199,1.2766320095449122208965399693199E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,p50,-0.0004769497659672962091845562,-0.000476949765967296209184556179538855040002992625982539897783,-2.0461144959997007374017460102217E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,p90,-0.0003584688260145948022020228,-0.000358468826014594802202022788375368070669568557162975291256,-1.1624631929330431442837024708744E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,filter_basis_negative:reject,1095,1095,0,theoretical_basis_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,ordered_reject:basis_negative,1095,1095,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,filter_funding:reject,0,0,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,simultaneous_reject,1095,1095,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,permanent,ETHUSDT,filter_funding:diagnostic_fail_not_applied,1095,1095,0,theoretical_not_applied,verified
