action,cancel_requested_at,data_kind,deadline,deadline_utc,filled_quantity,funding_filter_enabled,market,order_id,purpose,quantity,recent_volume_quantity,record_type,reference_ids,remaining_quantity,run_id,scenario,side,status,strategy,submitted_at,submitted_at_utc,symbol,time_ns,timestamp_utc,units,vwap_notional,vwap_quantity,window,window_end,window_end_utc,window_start,window_start_utc
submitted,,historical_assumptions,1679659741000000000,2023-03-24T12:09:01.000000000Z,0,True,spot,conditional-00000020,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679659621000000000,2023-03-24T12:07:01.000000000Z,ETHUSDT,1679659621000000000,2023-03-24T12:07:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679659741000000000,2023-03-24T12:09:01.000000000Z,0,True,spot,conditional-00000020,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679659621000000000,2023-03-24T12:07:01.000000000Z,ETHUSDT,1679659741000000000,2023-03-24T12:09:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
submitted,,historical_assumptions,1679659861000000000,2023-03-24T12:11:01.000000000Z,0,True,spot,conditional-00000021,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679659741000000000,2023-03-24T12:09:01.000000000Z,ETHUSDT,1679659741000000000,2023-03-24T12:09:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679659861000000000,2023-03-24T12:11:01.000000000Z,0,True,spot,conditional-00000021,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679659741000000000,2023-03-24T12:09:01.000000000Z,ETHUSDT,1679659861000000000,2023-03-24T12:11:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
submitted,,historical_assumptions,1679659981000000000,2023-03-24T12:13:01.000000000Z,0,True,spot,conditional-00000022,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679659861000000000,2023-03-24T12:11:01.000000000Z,ETHUSDT,1679659861000000000,2023-03-24T12:11:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679659981000000000,2023-03-24T12:13:01.000000000Z,0,True,spot,conditional-00000022,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679659861000000000,2023-03-24T12:11:01.000000000Z,ETHUSDT,1679659981000000000,2023-03-24T12:13:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
submitted,,historical_assumptions,1679660101000000000,2023-03-24T12:15:01.000000000Z,0,True,spot,conditional-00000023,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679659981000000000,2023-03-24T12:13:01.000000000Z,ETHUSDT,1679659981000000000,2023-03-24T12:13:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679660101000000000,2023-03-24T12:15:01.000000000Z,0,True,spot,conditional-00000023,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679659981000000000,2023-03-24T12:13:01.000000000Z,ETHUSDT,1679660101000000000,2023-03-24T12:15:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
submitted,,historical_assumptions,1679660221000000000,2023-03-24T12:17:01.000000000Z,0,True,spot,conditional-00000024,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679660101000000000,2023-03-24T12:15:01.000000000Z,ETHUSDT,1679660101000000000,2023-03-24T12:15:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679660221000000000,2023-03-24T12:17:01.000000000Z,0,True,spot,conditional-00000024,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679660101000000000,2023-03-24T12:15:01.000000000Z,ETHUSDT,1679660221000000000,2023-03-24T12:17:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
submitted,,historical_assumptions,1679660341000000000,2023-03-24T12:19:01.000000000Z,0,True,spot,conditional-00000025,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,pending,conditional,1679660221000000000,2023-03-24T12:17:01.000000000Z,ETHUSDT,1679660221000000000,2023-03-24T12:17:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
timeout,,historical_assumptions,1679660341000000000,2023-03-24T12:19:01.000000000Z,0,True,spot,conditional-00000025,close_spot,1.6616,0E-8,event,[],1.6616,run_8e60a7bd388ef9b8d7edb5d4,alignment_only,SELL,expired,conditional,1679660221000000000,2023-03-24T12:17:01.000000000Z,ETHUSDT,1679660341000000000,2023-03-24T12:19:01.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,,,,
